Rank,University_Name,State,Region,Division,Early_Career_Pay,Mid_Career_Pay,Make_World_Better_Percent,Stem_Percent,Type,Degree_Length,Room_And_Board,In_State_Tuition,In_State_Total,Out_Of_State_Tuition,Out_Of_State_Total,Total_Enrollment,American_Indian_Alaska_Native_Diversity_Percent,Asian_Diversity_Percent,Black_Diversity_Percent,Hispanic_Diversity_Percent,Native_Hawaiian_Pacific_Islander_Diversity_Percent,Two_Or_More_Races_Diversity_Percent,Total_Minority_Diversity_Percent,Non-Resident_Foreign_Diversity_Percent,Unknown_Diversity_Percent,White_Diversity_Percent,Women_Diversity_Percent,Men_Diversity_Percent
1,Auburn University,Alabama,South,East South Central,54400,104500,51,31,Public,4 Year,13332,11276,24608,30524,43856,25912,0.01,0.02,0.07,0.02,0,0,0.13,0.06,0.01,0.81,0.49,0.51
1,University Alaska Fairbanks,Alaska,West,Pacific,59100,101800,54,20,Public,4 Year,8930,8087,17017,24257,33187,8620,0.12,0.01,0.02,0.05,0,0.04,0.24,0.03,0.28,0.45,0.58,0.42
1,Embry Riddle Aeronautical University Prescott,Arizona,West,Mountain,65600,117900,59,43,Private,4 Year,11394,35654,47048,35654,47048,2035,0,0.06,0.02,0.06,0.01,0.09,0.23,0.1,0.1,0.57,0.23,0.77
1,University Arkansas,Arkansas,South,West South Central,52500,98000,49,18,Public,4 Year,11020,9130,20150,25168,36188,26237,0.01,0.03,0.05,0.06,0,0.03,0.18,0.06,0.01,0.76,0.51,0.49
1,Harvey Mudd College,California,West,Pacific,88800,158200,55,85,Private,4 Year,18127,56876,75003,56876,75003,804,0.01,0.21,0.02,0.1,0,0.06,0.39,0.13,0.05,0.44,0.46,0.54
1,Colorado School Mines,Colorado,West,Mountain,75600,139600,60,93,Public,4 Year,13169,18964,32133,38584,51753,5962,0,0.04,0.01,0.07,0,0.04,0.16,0.12,0.02,0.71,0.28,0.72
1,Yale University,Connecticut,Northeast,New England,70300,138300,53,22,Private,4 Year,16000,53430,69430,53430,69430,12336,0,0.13,0.06,0.08,0,0.04,0.31,0.19,0.02,0.48,0.49,0.51
1,University Delaware,Delaware,South,South Atlantic,58600,105400,43,22,Public,4 Year,12862,13680,26542,34310,47172,22680,0,0.05,0.05,0.06,0,0.03,0.19,0.09,0.02,0.71,0.56,0.44
1,Embry Riddle Aeronautical University Daytona Beach,Florida,South,South Atlantic,63300,111200,58,35,Private,4 Year,11438,35814,47252,35814,47252,5538,0,0.04,0.05,0.05,0,0.06,0.22,0.19,0.09,0.51,0.19,0.81
1,Georgia Institute Technology,Georgia,South,South Atlantic,72700,133400,48,80,Public,4 Year,11884,12424,24308,33020,44904,23109,0,0.16,0.06,0.06,0,0.03,0.3,0.21,0.01,0.48,0.3,0.7
1,Brigham Young University Hawaii,Hawaii,West,Pacific,51700,93900,57,12,Private,4 Year,6586,5560,12146,5560,12146,2787,0,0.08,0,0.05,0.09,0.07,0.31,0.35,0,0.35,0.58,0.42
1,University Idaho,Idaho,West,Mountain,52300,97700,54,22,Public,4 Year,8880,7864,16744,25500,34380,11702,0.01,0.01,0.01,0.08,0,0.03,0.15,0.06,0.03,0.76,0.47,0.53
1,Illinois Institute Technology,Illinois,Midwest,East North Central,64600,118500,47,64,Private,4 Year,12762,47296,60058,47296,60058,7898,0,0.06,0.04,0.08,0,0.01,0.19,0.48,0.08,0.25,0.36,0.64
1,Rose Hulman Institute Technology,Indiana,Midwest,East North Central,75000,135800,51,96,Private,4 Year,14766,49871,64637,49871,64637,2388,0,0.03,0.02,0.03,0,0.04,0.13,0.12,0.03,0.72,0.23,0.78
1,Iowa State University,Iowa,Midwest,West North Central,56100,101300,48,31,Public,4 Year,8720,8988,17708,23392,32112,34435,0,0.03,0.03,0.04,0,0.02,0.12,0.12,0.05,0.72,0.44,0.56
1,University Kansas,Kansas,Midwest,West North Central,53000,98600,52,16,Public,4 Year,10350,11148,21498,27358,37708,27180,0.01,0.04,0.04,0.06,0,0.04,0.19,0.09,0.02,0.7,0.51,0.49
1,University Kentucky,Kentucky,South,East South Central,51700,96400,48,19,Public,4 Year,12982,12245,25227,29099,42081,29203,0,0.03,0.07,0.04,0,0.03,0.16,0.06,0.03,0.75,0.53,0.47
1,Tulane University Louisiana,Louisiana,South,West South Central,56800,105300,44,22,Private,4 Year,15190,54820,70010,54820,70010,12603,0,0.05,0.08,0.06,0,0.03,0.21,0.1,0.04,0.65,0.56,0.44
1,Maine Maritime Academy,Maine,Northeast,New England,67000,121800,65,48,Public,4 Year,10310,13478,23788,27098,37408,1060,0,0.01,0.01,0.01,0,0,0.03,0,0.03,0.95,0.14,0.86
1,Massachusetts Institute Technology,Massachusetts,Northeast,New England,86300,155200,52,69,Private,4 Year,15510,51832,67342,51832,67342,11319,0,0.16,0.03,0.1,0,0.04,0.33,0.29,0.05,0.33,0.37,0.63
1,Kettering University,Michigan,Midwest,East North Central,69900,125000,44,74,Private,4 Year,8240,43490,51730,43490,51730,2079,0,0.03,0.04,0.03,0,0.02,0.13,0.07,0.08,0.72,0.19,0.81
1,Carleton College,Minnesota,Midwest,West North Central,58800,109900,47,45,Private,4 Year,14085,54759,68844,54759,68844,2057,0,0.09,0.04,0.06,0,0.05,0.24,0.1,0.02,0.65,0.53,0.47
1,Mississippi State University,Mississippi,South,East South Central,51100,94100,57,27,Public,4 Year,10090,8760,18850,23360,33450,20138,0.01,0.01,0.19,0.02,0,0.01,0.25,0.04,0.01,0.71,0.49,0.51
1,Missouri University Science and Technology,Missouri,Midwest,West North Central,67300,122600,50,80,Public,4 Year,10274,10169,20443,28499,38773,8640,0,0.03,0.03,0.03,0,0.02,0.11,0.18,0.04,0.68,0.23,0.77
1,Montana Tech University Montana,Montana,West,Mountain,61200,112600,64,61,Public,4 Year,9656,7411,17067,22574,32230,2085,0.02,0.01,0.01,0.02,0,0,0.05,0.11,0.06,0.78,0.33,0.68
1,University Nebraska Lincoln,Nebraska,Midwest,West North Central,51500,96700,53,20,Public,4 Year,11430,9154,20584,24949,36379,25006,0,0.02,0.03,0.05,0,0.02,0.12,0.1,0.02,0.76,0.48,0.52
1,Sierra Nevada College,Nevada,West,Mountain,54000,95500,39,2,Private,4 Year,13357,34241,47598,34241,47598,1039,0.03,0.02,0.04,0.03,0.01,0,0.13,0.02,0.15,0.69,0.58,0.42
1,Dartmouth College,New Hampshire,Northeast,New England,71500,130900,44,35,Private,4 Year,15756,55453,71209,55453,71209,6298,0.02,0.12,0.05,0.07,0,0.04,0.3,0.15,0.07,0.47,0.47,0.53
1,Stevens Institute Technology,New Jersey,Northeast,Middle Atlantic,75100,139900,47,79,Private,4 Year,15244,52202,67446,52202,67446,6125,0,0.07,0.02,0.05,0,0,0.14,0.31,0.2,0.35,0.28,0.72
1,New Mexico Institute Mining and Technology,New Mexico,West,Mountain,64700,120400,61,91,Public,4 Year,8510,7770,16280,22268,30778,2127,0.03,0.03,0.02,0.25,0,0.03,0.36,0.07,0.01,0.56,0.32,0.68
1,Albany College Pharmacy and Health Sciences,New York,Northeast,Middle Atlantic,81000,144800,82,2,Private,4 Year,10920,35105,46025,35105,46025,1563,0,0.15,0.04,0.04,0,0.01,0.24,0.08,0.06,0.63,0.6,0.4
1,Duke University,North Carolina,South,South Atlantic,71100,132100,50,26,Private,4 Year,15178,55695,70873,55695,70873,15856,0,0.14,0.07,0.05,0,0.02,0.3,0.18,0.03,0.49,0.5,0.5
1,North Dakota State University,North Dakota,Midwest,West North Central,54200,98600,56,27,Public,4 Year,8565,9294,17859,13273,21838,14747,0.01,0.02,0.02,0.02,0,0.02,0.08,0.07,0.04,0.81,0.46,0.54
1,Case Western Reserve University,Ohio,Midwest,East North Central,66600,117800,44,37,Private,4 Year,15190,49042,64232,49042,64232,10771,0,0.14,0.05,0.04,0,0.03,0.26,0.19,0.05,0.5,0.5,0.5
1,University Tulsa,Oklahoma,South,West South Central,58700,107200,51,36,Private,4 Year,11116,41509,52625,41509,52625,4682,0.05,0.03,0.04,0.04,0,0.02,0.17,0.26,0.03,0.54,0.43,0.58
