University_Name,University_Name_Clean,Total_Enrollment,State,American_Indian_Alaska_Native_Diversity_Percent,Asian_Diversity_Percent,Black_Diversity_Percent,Hispanic_Diversity_Percent,Native_Hawaiian_Pacific_Islander_Diversity_Percent,Two_Or_More_Races_Diversity_Percent,Total_Minority_Diversity_Percent,Non-Resident_Foreign_Diversity_Percent,Unknown_Diversity_Percent,White_Diversity_Percent,Women_Diversity_Percent,Men_Diversity_Percent
University of Phoenix-Arizona,University Phoenix Arizona,195059,Arizona,0.40%,1.00%,16.10%,7.20%,0.50%,9.80%,35.00%,1.70%,33.40%,29.80%,69.10%,30.90%
Ivy Tech Community College-Central Indiana,Ivy Tech Community College Central Indiana,91179,Indiana,0.40%,1.50%,13.60%,6.10%,0.00%,2.00%,23.50%,0.00%,9.00%,67.40%,58.60%,41.40%
Liberty University,Liberty University,81459,Virginia,0.50%,1.10%,18.10%,1.50%,0.20%,2.20%,23.50%,1.30%,27.30%,48.00%,59.30%,40.70%
Lone Star College system,Lone Star College system,69395,Texas,0.20%,6.00%,17.40%,34.20%,0.00%,2.90%,60.80%,1.90%,3.30%,34.00%,59.50%,40.50%
Miami Dade College,Miami Dade College,66046,Florida,0.10%,1.00%,16.20%,67.90%,0.10%,0.30%,85.60%,5.10%,2.90%,6.30%,58.00%,42.00%
Grand Canyon University,Grand Canyon University,62304,Arizona,0.90%,3.90%,22.20%,14.30%,0.50%,2.50%,44.40%,0.00%,9.50%,46.10%,74.90%,25.10%
Texas A&M University at College Station,Texas A&M University College Station,61642,Texas,0.30%,5.80%,3.00%,18.30%,0.10%,2.70%,30.10%,8.50%,0.60%,60.80%,47.50%,52.50%
University of Central Florida,University Central Florida,60767,Florida,0.20%,5.50%,10.50%,21.60%,0.20%,3.00%,41.00%,2.50%,1.70%,54.80%,55.10%,44.90%
Ohio State University,Ohio State University,58322,Ohio,0.10%,5.70%,5.30%,3.50%,0.10%,2.60%,17.30%,10.60%,3.00%,69.10%,49.10%,50.90%
Houston Community College,Houston Community College,58276,Texas,0.20%,9.30%,31.80%,31.60%,0.20%,1.50%,74.60%,9.10%,2.00%,14.40%,58.40%,41.60%
Western Governors University,Western Governors University,57821,Utah,0.60%,3.80%,9.40%,7.40%,0.50%,2.90%,24.60%,0.10%,2.80%,72.50%,60.60%,39.40%
American Public University system,American Public University system,57539,West Virginia,0.70%,1.90%,20.60%,9.80%,0.90%,3.60%,37.50%,0.90%,5.00%,56.60%,38.30%,61.70%
