Rank,Name,State,Early_Career_Pay,Mid_Career_Pay,Make_World_Better_Percent,Stem_Percent,University_Name_Clean
1,Auburn University,Alabama,54400,104500,51,31,Auburn University
2,University of Alabama in Huntsville,Alabama,57500,103900,59,45,University Alabama Huntsville
3,The University of Alabama,Alabama,52300,97400,50,15,University Alabama
4,Tuskegee University,Alabama,54500,93500,61,30,Tuskegee University
5,Samford University,Alabama,48400,90500,52,3,Samford University
6,Spring Hill College,Alabama,46600,89100,53,12,Spring Hill College
7,Birmingham Southern College,Alabama,49100,88300,48,27,Birmingham Southern College
8,University of Alabama at Birmingham,Alabama,48600,87200,57,17,University Alabama Birmingham
9,University of South Alabama,Alabama,47700,86400,56,17,University South Alabama
10,Alabama A&M University,Alabama,48700,83500,58,20,Alabama A&M University
11,Troy University,Alabama,44500,81500,60,8,Troy University
12,Jacksonville State University,Alabama,43800,80000,61,7,Jacksonville State University
13,Auburn University at Montgomery,Alabama,45000,79600,61,12,Auburn University Montgomery
14,Huntingdon College,Alabama,42400,78900,69,14,Huntingdon College
15,Oakwood University,Alabama,43500,78800,71,16,Oakwood University
15,Athens State University,Alabama,45000,78800,51,9,Athens State University
17,University of West Alabama,Alabama,42700,76100,61,4,University West Alabama
18,University of North Alabama,Alabama,43000,75600,61,6,University North Alabama
19,University of Mobile,Alabama,40600,74100,77,7,University Mobile
20,Alabama State University,Alabama,39800,71500,61,16,Alabama State University
21,Faulkner University,Alabama,39400,71300,61,2,Faulkner University
22,University of Montevallo,Alabama,38900,70700,49,7,University Montevallo
23,Judson College,Alabama,37900,67600,65,13,Judson College
24,Amridge University,Alabama,35700,65900,,0,Amridge University
25,Miles College,Alabama,34800,65100,64,19,Miles College
1,University of Alaska Fairbanks,Alaska,59100,101800,54,20,University Alaska Fairbanks
2,University of Alaska Anchorage,Alaska,56000,101000,57,10,University Alaska Anchorage
3,Alaska Pacific University,Alaska,50300,90000,67,6,Alaska Pacific University
1,Embry-Riddle Aeronautical University-Prescott,Arizona,65600,117900,59,43,Embry Riddle Aeronautical University Prescott
2,University of Arizona,Arizona,56100,101000,51,23,University Arizona
3,Arizona State University-Tempe,Arizona,54500,100900,52,30,Arizona State University Tempe
4,Northern Arizona University,Arizona,49600,90000,56,12,Northern Arizona University
5,Arizona Christian University,Arizona,42600,76600,,7,Arizona Christian University
6,Ottawa University-Phoenix,Arizona,42000,74600,54,0,Ottawa University Phoenix
7,Prescott College,Arizona,41200,73500,69,0,Prescott College
1,University of Arkansas,Arkansas,52500,98000,49,18,University Arkansas
2,Hendrix College,Arkansas,48100,90300,58,33,Hendrix College
3,University of Arkansas for Medical Sciences,Arkansas,51700,89100,84,3,University Arkansas for Medical Sciences
4,Harding University,Arkansas,49200,88600,47,10,Harding University
5,John Brown University,Arkansas,47000,82700,53,9,John Brown University
6,Arkansas State University-Main Campus,Arkansas,44600,81400,52,7,Arkansas State University
7,University of Arkansas at Little Rock,Arkansas,45600,80800,55,13,University Arkansas Little Rock
8,Ouachita Baptist University,Arkansas,44100,80200,58,18,Ouachita Baptist University
9,Southern Arkansas University Main Campus,Arkansas,42800,80100,56,53,Southern Arkansas University
10,Henderson State University,Arkansas,42900,79800,57,5,Henderson State University
10,University of Central Arkansas,Arkansas,44900,79800,52,8,University Central Arkansas
12,University of Arkansas at Monticello,Arkansas,43500,78300,61,2,University Arkansas Monticello
13,Arkansas Tech University,Arkansas,45000,76900,54,7,Arkansas Tech University
14,University of the Ozarks,Arkansas,42300,74500,58,16,University Ozarks
15,Lyon College,Arkansas,41200,74300,53,33,Lyon College
16,University of Arkansas-Fort Smith,Arkansas,40700,71100,55,9,University Arkansas Fort Smith
17,University of Arkansas at Pine Bluff,Arkansas,40500,70500,67,22,University Arkansas Pine Bluff
18,Central Baptist College,Arkansas,36900,68000,,3,Central Baptist College
19,Philander Smith College,Arkansas,34600,61200,,26,Philander Smith College
1,Harvey Mudd College,California,88800,158200,55,85,Harvey Mudd College
2,Samuel Merritt University,California,91200,154100,90,0,Samuel Merritt University
3,California Institute of Technology,California,84100,151600,53,97,California Institute Technology
4,Stanford University,California,79000,145200,56,51,Stanford University
5,Charles R Drew University of Medicine and Science,California,78300,135700,,3,Charles R Drew University Medicine and Science
