Name,University_Name_Clean,State,State_Code,Type,Degree_Length,Room_And_Board,In_State_Tuition,In_State_Total,Out_Of_State_Tuition,Out_Of_State_Total
Aaniiih Nakoda College,Aaniiih Nakoda College,Montana,MT,Public,2 Year,,2380,2380,2380,2380
Abilene Christian University,Abilene Christian University,Texas,TX,Private,4 Year,10350,34850,45200,34850,45200
Abraham Baldwin Agricultural College,Abraham Baldwin Agricultural College,Georgia,GA,Public,2 Year,8474,4128,12602,12550,21024
Academy College,Academy College,Minnesota,MN,For Profit,2 Year,,17661,17661,17661,17661
Academy of Art University,Academy Art University,California,CA,For Profit,4 Year,16648,27810,44458,27810,44458
Adams State University,Adams State University,Colorado,CO,Public,4 Year,8782,9440,18222,20456,29238
Adelphi University,Adelphi University,New York,NY,Private,4 Year,16030,38660,54690,38660,54690
Adirondack Community College,Adirondack Community College,New York,NY,Public,2 Year,11660,5375,17035,9935,21595
Adrian College,Adrian College,Michigan,MI,Private,4 Year,11318,37087,48405,37087,48405
Advanced Technology Institute,Advanced Technology Institute,Virginia,VA,For Profit,2 Year,,13680,13680,13680,13680
Adventist University of Health Sciences,Adventist University Health Sciences,Florida,FL,Private,4 Year,4200,15150,19350,15150,19350
Agnes Scott College,Agnes Scott College,Georgia,GA,Private,4 Year,12330,41160,53490,41160,53490
Aiken Technical College,Aiken Technical College,South Carolina,SC,Public,2 Year,,5160,5160,8010,8010
Aims Community College,Aims Community College,Colorado,CO,Public,2 Year,,2281,2281,13018,13018
Alabama Agricultural and Mechanical University,Alabama A&M University,Alabama,AL,Public,4 Year,8379,9698,18077,17918,26297
Alabama Southern Community College,Alabama Southern Community College,Alabama,AL,Public,2 Year,,4440,4440,8880,8880
Alabama State University,Alabama State University,Alabama,AL,Public,4 Year,5422,11068,16490,19396,24818
Alamance Community College,Alamance Community College,North Carolina,NC,Public,2 Year,,2310,2310,8070,8070
Alaska Bible College,Alaska Bible College,Alaska,AK,Private,4 Year,5700,9300,15000,9300,15000
Alaska Pacific University,Alaska Pacific University,Alaska,AK,Private,4 Year,7300,20830,28130,20830,28130
Albany College of Pharmacy and Health Sciences,Albany College Pharmacy and Health Sciences,New York,NY,Private,4 Year,10920,35105,46025,35105,46025
Albany State University,Albany State University,Georgia,GA,Public,4 Year,8878,6726,15604,19802,28680
Albany Technical College,Albany Technical College,Georgia,GA,Public,2 Year,,3246,3246,5916,5916
